Filename,[DH]e_cblp,[DH]e_cp,[DH]e_minalloc,[DH]e_ovno,[DH]e_lfanew,[FH]Machine,[FH]NumberOfSections,[FH]PointerToSymbolTable,[FH]NumberOfSymbols,[FH]SizeOfOptionalHeader,[FH_C]FILE_RELOCS_STRIPPED,[FH_C]FILE_EXECUTABLE_IMAGE,[FH_C]FILE_LINE_NUMS_STRIPPED,[FH_C]FILE_LOCAL_SYMS_STRIPPED,[FH_C]FILE_AGGRESIVE_WS_TRIM,[FH_C]FILE_LARGE_ADDRESS_AWARE,[FH_C]FILE_16BIT_MACHINE,[FH_C]FILE_BYTES_REVERSED_LO,[FH_C]FILE_32BIT_MACHINE,[FH_C]FILE_DEBUG_STRIPPED,[FH_C]FILE_REMOVABLE_RUN_FROM_SWAP,[FH_C]FILE_NET_RUN_FROM_SWAP,[FH_C]FILE_SYSTEM,[FH_C]FILE_DLL,[FH_C]FILE_UP_SYSTEM_ONLY,[FH_C]FILE_BYTES_REVERSED_HI,[OH]Magic,[OH]MajorLinkerVersion,[OH]MinorLinkerVersion,[OH]SizeOfCode,[OH]SizeOfInitializedData,[OH]SizeOfUninitializedData,[OH]AddressOfEntryPoint,[OH]BaseOfCode,[OH]ImageBase,[OH]SectionAlignment,[OH]FileAlignment,[OH]MajorOperatingSystemVersion,[OH]MinorOperatingSystemVersion,[OH]MajorImageVersion,[OH]MinorImageVersion,[OH]MajorSubsystemVersion,[OH]MinorSubsystemVersion,[OH]Reserved1,[OH]SizeOfImage,[OH]SizeOfHeaders,[OH]CheckSum,[OH]Subsystem,[OH]SizeOfStackReserve,[OH]SizeOfStackCommit,[OH]SizeOfHeapReserve,[OH]SizeOfHeapCommit,[OH]LoaderFlags,[OH]NumberOfRvaAndSizes,[OH]BaseOfData,[OH_C]LIBRARY_PROCESS_INIT,[OH_C]LIBRARY_PROCESS_TERM,[OH_C]LIBRARY_THREAD_INIT,[OH_C]LIBRARY_THREAD_TERM,[OH_C]DLLCHARACTERISTICS_HIGH_ENTROPY_VA,[OH_C]DLLCHARACTERISTICS_DYNAMIC_BASE,[OH_C]DLLCHARACTERISTICS_FORCE_INTEGRITY,[OH_C]DLLCHARACTERISTICS_NX_COMPAT,[OH_C]DLLCHARACTERISTICS_NO_ISOLATION,[OH_C]DLLCHARACTERISTICS_NO_SEH,[OH_C]DLLCHARACTERISTICS_NO_BIND,[OH_C]DLLCHARACTERISTICS_APPCONTAINER,[OH_C]DLLCHARACTERISTICS_WDM_DRIVER,[OH_C]DLLCHARACTERISTICS_GUARD_CF,[OH_C]DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE,[SH]SectionCorrupted,[TLS]AddressOfCallBacks,[DIR]DIRECTORY_ENTRY_TLS,Label
.\dataset_backup\goodware\004d44f0eb106b2baa1004a712130c8072d8960bf865f698b53184678e25ccf4.vir,0x90,0x3,0x0,0x0,0xc0,332,3,0,0,224,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0x10b,0x6,0x0,0xac000,0xf000,0x0,0x3c70,0x1000,0x400000,0x1000,0x1000,0x4,0x0,0x2,0xa,0x4,0x0,0x0,0xbc000,0x1000,0xc805b,0x2,0x100000,0x1000,0x100000,0x1000,0x0,0x10,0xad000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0
.\dataset_backup\goodware\004e10ef5b9eb2cb70a3ea171e847b92a19d487ca97e443186803f73daf5423e.vir,0x90,0x3,0x0,0x0,0xd8,332,5,0,0,224,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0x10b,0x6,0x0,0x6400,0x22a00,0x800,0x3489,0x1000,0x400000,0x1000,0x200,0x4,0x0,0x6,0x0,0x4,0x0,0x0,0x64000,0x400,0x839ee3,0x2,0x100000,0x1000,0x100000,0x1000,0x0,0x10,0x8000,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0x0,0
.\dataset_backup\goodware\008aec32e5938562ff3193f7af8eef68ccc59fa625c226d2c40066b9ae40d619.vir,0x90,0x3,0x0,0x0,0x150,332,8,0,0,224,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0x10b,0xe,0x10,0x852e00,0x250800,0x0,0x795270,0x1000,0x400000,0x1000,0x200,0x6,0x0,0x0,0x0,0x6,0x0,0x0,0xaa8000,0x400,0xa9eb20,0x2,0x100000,0x1000,0x100000,0x1000,0x0,0x10,0x855000,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0xc56770,0x944114,0
.\dataset_backup\goodware\00c6b0e7911d1f47a494b8e27d5facf54a99215b25ada2b30a9c4bfa92fbb0fb.vir,0x90,0x3,0x0,0x0,0x80,34404,12,0,0,240,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0x20b,0x2,0x19,0x20fe00,0x2f2c00,0x4000,0x14d0,0x1000,0x400000,0x1000,0x200,0x4,0x0,0x0,0x0,0x5,0x2,0x0,0x2fd000,0x400,0x1525f844,0x2,0x200000,0x1000,0x100000,0x1000,0x0,0x10,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,10,0x6ca040,0x2cb020,0
.\dataset_backup\goodware\00dd210e3e18d61dd5a8f7dce2c064d0258b03ef612e0fab4803abc92c48325d.vir,0x90,0x3,0x0,0x0,0x80,34404,6,8377856,0,240,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0x20b,0x3,0x0,0x3a7e00,0x40400,0x0,0x5b040,0x1000,0x400000,0x1000,0x200,0x4,0x0,0x1,0x0,0x4,0x0,0x0,0x838000,0x600,0x8218d1,0x3,0x200000,0x1000,0x100000,0x1000,0x0,0x10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0x0,0
.\dataset_backup\goodware\00faf28c81e6e9dec81e8b19a478e73ab5599b8d38ca7003df1d65711347c188.vir,0x90,0x3,0x0,0x0,0x110,34404,7,0,0,240,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0x20b,0xe,0x10,0x8b400,0x20800,0x0,0x8b5f0,0x1000,0x163300000,0x1000,0x200,0x6,0x0,0x5,0x0,0x6,0x0,0x0,0xb0000,0x400,0xb2245,0x2,0x100000,0x1000,0x100000,0x1000,0x0,0x10,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0x0,0
.\dataset_backup\goodware\00fec4c1b44bc9dc9a14ef54b417a8b3f76e8e939f46613eafb5ea2e94ef1fc4.vir,0x90,0x3,0x0,0x0,0xe8,34404,6,0,0,240,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0x20b,0x9,0x0,0x2f000,0x65a00,0x0,0x1a48c,0x1000,0x140000000,0x1000,0x200,0x5,0x2,0x0,0x0,0x5,0x2,0x0,0x99000,0x400,0x0,0x2,0x100000,0x1000,0x100000,0x1000,0x0,0x10,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0x0,0
.\dataset_backup\goodware\0116eea477a5f5c181bf816953296c1f09cd1bf828f89f970c77332dd84ab518.vir,0x90,0x3,0x0,0x0,0x80,332,7,0,0,224,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0x10b,0x3,0xa,0x41c00,0xc400,0x0,0x15a4,0x1000,0x70100000,0x1000,0x200,0x4,0x0,0x0,0x0,0x4,0x0,0x0,0x52000,0x400,0x598e4,0x3,0x100000,0x1000,0x100000,0x1000,0x0,0x10,0x43000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0
.\dataset_backup\goodware\0119a0b93eb93d5ba64a951e16d5a975899eaec8e50ea4c4951e1245c3ee2c06.vir,0x50,0x2,0xf,0x1a,0x100,332,9,0,0,224,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0x10b,0x2,0x19,0x105600,0x40800,0x0,0x106618,0x1000,0x400000,0x1000,0x200,0x5,0x0,0x6,0x0,0x5,0x0,0x0,0x152000,0x400,0x14b272,0x2,0x100000,0x4000,0x100000,0x1000,0x0,0x10,0x107000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0x516010,0x116000,0
.\dataset_backup\goodware\011d2c000fe8a8ab233eeae3f5b5707467595dda17ce7475f8ede761948631d7.vir,0x90,0x3,0x0,0x0,0x118,332,7,0,0,224,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0x10b,0xe,0xa,0x49c00,0x84000,0x0,0x2e1fd,0x1000,0x400000,0x1000,0x200,0x5,0x1,0x0,0x0,0x5,0x1,0x0,0xd3000,0x400,0x7e8cf06,0x2,0x100000,0x1000,0x100000,0x1000,0x0,0x10,0x4b000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0x44b43c,0x675a4,0
.\dataset_backup\goodware\0127f3ba8f6e74c537e9fb0186de3ce42249bd1914fb656dcc3c7f245844e2de.vir,0x78,0x1,0x0,0x0,0x78,34404,9,0,0,240,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0x20b,0xe,0x0,0x3f400,0x1d600,0x0,0x1cee8,0x1000,0x180000000,0x1000,0x200,0x5,0x2,0x0,0x0,0x5,0x2,0x0,0x66000,0x400,0x66dc0,0x3,0x100000,0x1000,0x100000,0x1000,0x0,0x10,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0x18004fb08,0x4f8c0,0
.\dataset_backup\goodware\0133e5873fc365d1d3563fe80a6cba729b549c61e07f79e60b6f4fd4df03d4c8.vir,0x90,0x3,0x0,0x0,0x128,34404,9,0,0,240,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0x20b,0xe,0x18,0x9f200,0x6e600,0x6100000,0x61c805c,0x1000,0x140000000,0x1000,0x200,0x6,0x0,0x0,0x0,0x6,0x0,0x0,0x64aa000,0x400,0x0,0x2,0x100000,0x1000,0x100000,0x1000,0x0,0x10,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0x146126700,0x6148c88,0
.\dataset_backup\goodware\0138a8eabec0f31f24f146f1f63b20e12d89e9ea34e52474ad7107d03abaecca.vir,0x78,0x1,0x0,0x0,0x78,34404,8,0,0,240,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0x20b,0xe,0x0,0x33400,0x2c800,0x0,0x15da0,0x1000,0x140000000,0x1000,0x200,0x6,0x1,0x0,0x0,0x6,0x1,0x0,0x69000,0x400,0x6400a,0x2,0x800000,0x1000,0x100000,0x1000,0x0,0x10,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0x140041728,0x3b580,0
.\dataset_backup\goodware\018fd2e2415f1099f4c121b6e73af1f4a23e3a6ab3dbd4a318238dc0b8121c62.vir,0x50,0x2,0xf,0x1a,0x100,332,10,0,0,224,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0x10b,0x2,0x19,0x25aa00,0x2f400,0x0,0x25c4a4,0x1000,0x400000,0x1000,0x200,0x6,0x0,0x6,0x0,0x6,0x0,0x0,0x299000,0x400,0x28f44c,0x2,0x100000,0x4000,0x100000,0x1000,0x0,0x10,0x25d000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0x672010,0x272000,0
.\dataset_backup\goodware\01906afc1e37997ccf489bf90f37f867b85cc35c95e7447ad91cf6974f4febbe.vir,0x90,0x3,0x0,0x0,0x138,332,5,0,0,224,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0x10b,0xe,0x10,0x7d7e00,0x4fde00,0x0,0x4d701e,0x1000,0x400000,0x1000,0x200,0x6,0x0,0x0,0x0,0x6,0x0,0x0,0xcd8000,0x400,0xc68298,0x2,0x100000,0x1000,0x100000,0x1000,0x0,0x10,0x7d9000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0xbe0060,0x9922d8,0
.\dataset_backup\goodware\0191b01656cfab08354143665996d104b653805399b03fcbc05fdab35229bc70.vir,0x90,0x3,0x0,0x0,0x108,34404,7,0,0,240,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0x20b,0xe,0x0,0x2600,0x2c00,0x0,0x2b28,0x1000,0x140000000,0x1000,0x200,0x6,0x1,0x0,0x0,0x6,0x1,0x0,0xb000,0x400,0xab76,0x2,0x200000,0x1000,0x40000,0x1000,0x0,0x10,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0x0,0
.\dataset_backup\goodware\01988715b2e1184718f4e3e6b79a242758eece21c09ef4578d3219cbfd1c4ddf.vir,0x90,0x3,0x0,0x0,0x110,34404,6,0,0,240,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0x20b,0xe,0x10,0x411000,0x210c00,0x0,0x1a270,0x1000,0x163400000,0x1000,0x200,0x5,0x2,0x9,0x0,0x5,0x2,0x0,0x626000,0x400,0x6300b4,0x2,0x100000,0x1000,0x100000,0x1000,0x0,0x10,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0x0,0
.\dataset_backup\goodware\019b8846696c38c0784a83e624dfbdf6b19a421f64a307cdfb66e276752a212e.vir,0x90,0x3,0x0,0x0,0x80,332,3,0,0,224,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0x10b,0x30,0x0,0x13600,0x800,0x0,0x155e6,0x2000,0x10000000,0x2000,0x200,0x4,0x0,0x0,0x0,0x6,0x0,0x0,0x1a000,0x200,0x20953,0x3,0x100000,0x1000,0x100000,0x1000,0x0,0x10,0x16000,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0x0,0
